[00:29:21,972 | DEBUG |     main |    57]: <module>() : -----------------Starting Log Session-----------------
[00:29:21,972 | DEBUG |     main |    58]: <module>() :                  16/10/2024, 00:29:21                 
[00:29:22,754 |  INFO |     main |    85]: checkScriptJobs() : scriptJobs created for "main" UI!
[00:29:24,101 | ERROR |    utils |   110]: warningInView() : Select one curve and one geometry or Select one target curve and any number of curveCards/Tubes
[00:29:24,105 | DEBUG |    utils |   112]: warningInView() : File "D:\P4/Art/Tools/MetaBox\Scripts\Modeling\Edit\gs_curvetools\core.py", line 1359, in bind
[00:39:44,997 | DEBUG |     main |    57]: <module>() : -----------------Starting Log Session-----------------
[00:39:44,997 | DEBUG |     main |    58]: <module>() :                  16/10/2024, 00:39:44                 
[00:39:45,779 |  INFO |     main |    85]: checkScriptJobs() : scriptJobs created for "main" UI!
[01:21:13,543 | DEBUG |     main |    57]: <module>() : -----------------Starting Log Session-----------------
[01:21:13,543 | DEBUG |     main |    58]: <module>() :                  16/10/2024, 01:21:13                 
[01:21:14,324 |  INFO |     main |    85]: checkScriptJobs() : scriptJobs created for "main" UI!
[17:46:40,989 | DEBUG |     main |    57]: <module>() : -----------------Starting Log Session-----------------
[17:46:40,990 | DEBUG |     main |    58]: <module>() :                  16/10/2024, 17:46:40                 
[17:46:41,768 |  INFO |     main |    85]: checkScriptJobs() : scriptJobs created for "main" UI!
[18:04:19,264 | DEBUG |     main |    57]: <module>() : -----------------Starting Log Session-----------------
[18:04:19,265 | DEBUG |     main |    58]: <module>() :                  16/10/2024, 18:04:19                 
[18:04:20,032 |  INFO |     main |    85]: checkScriptJobs() : scriptJobs created for "main" UI!
[18:11:08,557 | DEBUG |     main |    57]: <module>() : -----------------Starting Log Session-----------------
[18:11:08,558 | DEBUG |     main |    58]: <module>() :                  16/10/2024, 18:11:08                 
[18:11:09,340 |  INFO |     main |    85]: checkScriptJobs() : scriptJobs created for "main" UI!
[20:45:08,653 | DEBUG |     main |    57]: <module>() : -----------------Starting Log Session-----------------
[20:45:08,653 | DEBUG |     main |    58]: <module>() :                  16/10/2024, 20:45:08                 
[20:45:09,434 |  INFO |     main |    85]: checkScriptJobs() : scriptJobs created for "main" UI!
